DATE,CSHICPINA156NRUG
1950-01-01,0.0856076180934906
1951-01-01,0.10058768093585968
1952-01-01,0.07854291051626205
1953-01-01,0.08668743073940277
1954-01-01,0.11164233088493347
1955-01-01,0.12340573221445084
1956-01-01,0.13787439465522766
1957-01-01,0.1288069635629654
1958-01-01,0.12263745814561844
1959-01-01,0.12444115430116653
1960-01-01,0.15739816427230835
1961-01-01,0.14418037235736847
1962-01-01,0.14964325726032257
1963-01-01,0.15408319234848022
1964-01-01,0.15981385111808777
1965-01-01,0.16643357276916504
1966-01-01,0.1690046191215515
1967-01-01,0.15447057783603668
1968-01-01,0.14024662971496582
1969-01-01,0.14000244438648224
1970-01-01,0.15078628063201904
1971-01-01,0.15800300240516663
1972-01-01,0.1461731493473053
1973-01-01,0.16575050354003906
1974-01-01,0.16206614673137665
1975-01-01,0.1359850913286209
1976-01-01,0.14993351697921753
1977-01-01,0.1626645028591156
1978-01-01,0.18558578193187714
1979-01-01,0.16652829945087433
1980-01-01,0.16722604632377625
1981-01-01,0.14780683815479279
1982-01-01,0.14637747406959534
1983-01-01,0.14070060849189758
1984-01-01,0.13801927864551544
1985-01-01,0.13792380690574646
1986-01-01,0.13783547282218933
1987-01-01,0.1502954363822937
1988-01-01,0.15815970301628113
1989-01-01,0.15874402225017548
1990-01-01,0.17489799857139587
1991-01-01,0.1452288180589676
1992-01-01,0.15919998288154602
1993-01-01,0.1590760052204132
1994-01-01,0.17844048142433167
1995-01-01,0.17633475363254547
1996-01-01,0.16510778665542603
1997-01-01,0.18607595562934875
1998-01-01,0.18253861367702484
1999-01-01,0.2066042572259903
2000-01-01,0.19525064527988434
2001-01-01,0.2016296088695526
2002-01-01,0.2154669314622879
2003-01-01,0.23393189907073975
2004-01-01,0.2802467346191406
2005-01-01,0.30123239755630493
2006-01-01,0.30032995343208313
2007-01-01,0.3367939591407776
2008-01-01,0.30122479796409607
2009-01-01,0.3228515088558197
2010-01-01,0.34156858921051025
2011-01-01,0.3338458240032196
2012-01-01,0.3121625483036041
2013-01-01,0.283821165561676
2014-01-01,0.28780558705329895
2015-01-01,0.2761174738407135
2016-01-01,0.2784913182258606
2017-01-01,0.30235496163368225
2018-01-01,0.2801036536693573
2019-01-01,0.27037954330444336
