DATE,CSHMCPINA156NRUG
1950-01-01,-0.03964659199118614
1951-01-01,-0.05163094028830528
1952-01-01,-0.03187008202075958
1953-01-01,-0.02912084385752678
1954-01-01,-0.03326866403222084
1955-01-01,-0.03698844835162163
1956-01-01,-0.048719000071287155
1957-01-01,-0.04891996085643768
1958-01-01,-0.03865939378738403
1959-01-01,-0.03692192584276199
1960-01-01,-0.043066222220659256
1961-01-01,-0.03706597909331322
1962-01-01,-0.03607655316591263
1963-01-01,-0.0314314104616642
1964-01-01,-0.029855741187930107
1965-01-01,-0.03249310329556465
1966-01-01,-0.02973037399351597
1967-01-01,-0.030501674860715866
1968-01-01,-0.027293389663100243
1969-01-01,-0.020164281129837036
1970-01-01,-0.01730961538851261
1971-01-01,-0.020059069618582726
1972-01-01,-0.017185762524604797
1973-01-01,-0.01708817668259144
1974-01-01,-0.02041829191148281
1975-01-01,-0.015988299623131752
1976-01-01,-0.01864134892821312
1977-01-01,-0.023583270609378815
1978-01-01,-0.0229048989713192
1979-01-01,-0.027103107422590256
1980-01-01,-0.03554926812648773
1981-01-01,-0.04163583740592003
1982-01-01,-0.03217960149049759
1983-01-01,-0.05048903077840805
1984-01-01,-0.041059259325265884
1985-01-01,-0.0451776422560215
1986-01-01,-0.036736998707056046
1987-01-01,-0.03393958508968353
1988-01-01,-0.03410694748163223
1989-01-01,-0.03455672785639763
1990-01-01,-0.033449936658144
1991-01-01,-0.025966692715883255
1992-01-01,-0.032803069800138474
1993-01-01,-0.03136245533823967
1994-01-01,-0.0354994460940361
1995-01-01,-0.039134036749601364
1996-01-01,-0.03965478017926216
1997-01-01,-0.042073626071214676
1998-01-01,-0.04194548726081848
1999-01-01,-0.046278584748506546
2000-01-01,-0.04970719292759895
2001-01-01,-0.046954572200775146
2002-01-01,-0.05011575669050217
2003-01-01,-0.05203606188297272
2004-01-01,-0.06177259236574173
2005-01-01,-0.07280168682336807
2006-01-01,-0.07849901914596558
2007-01-01,-0.08056269586086273
2008-01-01,-0.10136381536722183
2009-01-01,-0.08985739201307297
2010-01-01,-0.09702476859092712
2011-01-01,-0.11155632883310318
2012-01-01,-0.11243505775928497
2013-01-01,-0.10194487124681473
2014-01-01,-0.09262624382972717
2015-01-01,-0.0837709903717041
2016-01-01,-0.07251743227243423
2017-01-01,-0.08492153882980347
2018-01-01,-0.08636514097452164
2019-01-01,-0.07793845981359482
